chart_id,point_count,chip_point,shot_point,map_point,x_offset,y_offset,stiching_point,shot_count,value_LSL,value_Target,value_USL,value_avg,stitch_LSL,stitch_Target,stitch_USL,stitch_avg,delta_LSL,delta_Target,delta_USL,delta_avg,update_man,value_LCL,value_UCL,stitch_LCL,stitch_UCL,delta_LCL,delta_UCL
T750MVR01.0/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T750MVR01.0/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T750MVR01.0/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T750MVR02.0/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T750MVR02.0/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T750MVR02.0/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T750QVN03/B/AOVI/pattern_OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T750QVN03/G/AOVI/pattern_OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T750QVN03/R/AOVI/pattern_OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T750QVN04/B/AOVI/pattern_OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T750QVN04/G/AOVI/pattern_OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T750QVN04/R/AOVI/pattern_OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T750QVR01.W/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,-1.5
T750QVR01.W/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,-1.5
T750QVR01.W/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.5,0,1.5,0,-2,0,2,0,NULL,-0.5,0.5,-1,1,-1.5,1.5
T750QVR04/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,-1.5
T750QVR04/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,-1.5
T750QVR04/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.5,0,1.5,0,-2,0,2,0,NULL,-0.5,0.5,-1,1,-1.5,1.5
T850MVR02_C18/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR02_C18/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR02_C18/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR02_R/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR02_R/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR02_R/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR04.0/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR04.0/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850MVR04.0/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.5,0,0.5,1,-1.5,0,1.5,0,-1.5,0,1.5,0,NULL,-0.3,0.3,-1,1,-1.2,1.2
T850QVF03/B/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVF03/G/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVF03/R/AOVI/OL,16,NULL,"1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",-1,1,"2,3,5,8,9,12,14,15",4,-0.8,0,0.8,1,-1.5,0,1.5,0,-2,0,2,0,NULL,-0.5,0.5,-1,1,-1.5,1.5
T850QVN03.0/B/AOVI/OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVN03.0/G/AOVI/OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVN03.0/R/AOVI/OL,20,NULL,"1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4","1,2,17,3,4,5,6,7,8,18,9,10,11,12,19,13,14,20,15,16",-1,-1,"2,17,3,5,18,8,9,19,12,14,20,15",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVR02.0_MOTA/B/AOVI/OL,24,NULL,"1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4","1,4,5,6,3,2,7,10,11,12,9,8,13,16,17,18,15,14,19,22,23,24,21,20",-1,1,"4,5,6,7,8,9,13,14,15,22,23,24",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVR02.0_MOTA/G/AOVI/OL,24,NULL,"1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4","1,4,5,6,3,2,7,10,11,12,9,8,13,16,17,18,15,14,19,22,23,24,21,20",-1,1,"4,5,6,7,8,9,13,14,15,22,23,24",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVR02.0_MOTA/R/AOVI/OL,24,NULL,"1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4","1,4,5,6,3,2,7,10,11,12,9,8,13,16,17,18,15,14,19,22,23,24,21,20",-1,1,"4,5,6,7,8,9,13,14,15,22,23,24",4,-0.8,0,0.8,1,-1.5,0,1.5,0,-2,0,2,0,NULL,-0.5,0.5,-1,1,-1.5,1.5
T850QVR02/B/AOVI/OL,24,NULL,"1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4","1,4,5,6,3,2,7,10,11,12,9,8,13,16,17,18,15,14,19,22,23,24,21,20",-1,1,"4,5,6,7,8,9,13,14,15,22,23,24",4,-0.8,0,0.8,1,-1.8,0,1.8,0,-2,0,2,0,NULL,-0.5,0.5,-1.5,1.5,-1.5,1.5
T850QVR02/G/AOVI/OL,24,NULL,"1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4","1,4,5,6,3,2,7,10,11,12,9,8,13,16,17,18,15,14,19,22,23,24,21,20",-1,1,"4,5,6,7,8,9,13,14,15,22,23,24",4,-1.2,0,1.2,1,-1.8,0,1.8,0,-2,0,2,0,蕭建偉,-1,1,-1.5,1.5,-1.5,1.5
T850QVR02/R/AOVI/OL,24,NULL,"1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4","1,4,5,6,3,2,7,10,11,12,9,8,13,16,17,18,15,14,19,22,23,24,21,20",-1,1,"4,5,6,7,8,9,13,14,15,22,23,24",4,-0.8,0,0.8,1,-1.5,0,1.5,0,-2,0,2,0,NULL,-0.5,0.5,-1,1,-1.5,1.5
